B_Ion,A_Ion,C_Ion,AntiSolvent,Cell_Area,Solv_Anneal,HTL,Bandgap,Solvents,Backcontact,ETL,Synth_Atm,Dep_Procedure,Is_Module,Anneal_Temp,PCE,Voc,Jsc,FF
Pb,Cs,Br; I,0,0.09,0,PTAA,1.91,DMSO >> Octane,Au,TiO2-c,Unknown,Spin-coating >> Spin-coating,0,,11.87,1.17,12.69,0.799
Pb,MA,I,1,0.1,0,NiO-mp,1.6,DMF; DMSO,Carbon,TiO2-c | TiO2-mp | ZrO2-mp,N2,Drop-infiltration,0,,8.23,0.98,18.3,0.459
Pb,Cs,Br; I,0,0.096,0,P3HT,1.92,DMSO,Au,TiO2-c | TiO2-mp,Air,Spin-coating,0,160,13.33,1.21,13.93,0.79
Pb,MA,I,0,0.0725,0,TS-CuPc,1.56,DMF; GBL,Ag,PCBM-60 | Bphen,N2,Spin-coating,0,95,8.71,0.78,18.31,0.61
Pb,MA,I,0,,0,PEDOT:PSS,,DMSO; GBL,Ag,"(2Z,2Ã¢â‚¬Â²Z)-3,3Ã¢â‚¬Â²-(5,5Ã¢â‚¬Â²-(2,7-dioctyl-1,3,6,8-tetraoxo-1,2,3,6,7,8-hexahydrobenzo[lmn][3,8] phenanthroline-4,9-diyl)bis(thiophene-5,2-diyl))bis(2-(3,5-bis (trifluoroomethyl)phenyl) acrylonitrile)",Unknown,Spin-coating,0,100,6.61,0.73,16.9,0.538
Pb,MA,I,1,0.1,0,CuSCN,1.59,DMF; DMSO,Ag,PCBM-60 | bis-C60,Unknown,Spin-coating,0,100,11.2,0.92,19.45,0.62
Fe; Ti,Bi,O,0,,0,Unknown,2.35,Unknown,Ag,WS2,Unknown,Unknown,0,,0.36,0.8,0.6,0.39
Pb,MA,I,1,0.1,0,Carbon-nt,1.6,DMF; DMSO,Ag,PCBM-60,N2,Spin-coating,0,,3.2,1.01,7.77,0.412
Pb,Cs; FA,Br; I,1,,0,NiOx-SAM,1.78,DMF; DMSO,Cu,C60,N2,Spin-coating,0,,19.6,1.324,17.9,0.83
Pb,Cs; FA,Br; I,0,,0,"2,7-Me-2PACz",1.68,Unknown,ITO | Ag,C60 | SnO2-c,Unknown,Unknown,0,,,,,
